lineNo,url,direction,from,to
33,https://tfl.gov.uk/bus/route/33?direction=inbound,inbound,Lonsdale Road,Fulwell Station
7,https://tfl.gov.uk/bus/route/7?direction=inbound,inbound,Oxford Street / John Lewis,Brunel Road
5,https://tfl.gov.uk/bus/route/5?direction=inbound,inbound,Canning Town Bus Station,Romford Market
1,https://tfl.gov.uk/bus/route/1?direction=outbound,outbound,Royal Free Hospital,Canada Water Bus Station
6,https://tfl.gov.uk/bus/route/6?direction=inbound,inbound,Victoria Station,Pound Lane / Willesden Bus Garage
31,https://tfl.gov.uk/bus/route/31?direction=inbound,inbound,White City Bus Station,Camden Town Station
25,https://tfl.gov.uk/bus/route/25?direction=inbound,inbound,King Edward Street,Hainault Street
5,https://tfl.gov.uk/bus/route/5?direction=outbound,outbound,Romford Market,Canning Town Station
50,https://tfl.gov.uk/bus/route/50?direction=outbound,outbound,Park Lane / Fairfield Halls,Clapham Road / Stockwell Station
16,https://tfl.gov.uk/bus/route/16?direction=inbound,inbound,Bishop's Bridge / Paddington Station,Brent Park Tesco
42,https://tfl.gov.uk/bus/route/42?direction=outbound,outbound,East Dulwich Sainsbury's,Appold Street
44,https://tfl.gov.uk/bus/route/44?direction=inbound,inbound,Mitcham Road / Tooting Station,Victoria Station
35,https://tfl.gov.uk/bus/route/35?direction=inbound,inbound,Shoreditch High Street Station,Clapham Junction Stn / the Falcon
40,https://tfl.gov.uk/bus/route/40?direction=inbound,inbound,Clerkenwell Road,Dulwich Library
51,https://tfl.gov.uk/bus/route/51?direction=outbound,outbound,Woolwich High Street,Orpington Station
44,https://tfl.gov.uk/bus/route/44?direction=outbound,outbound,Victoria Station,Tooting Station
43,https://tfl.gov.uk/bus/route/43?direction=outbound,outbound,Halliwick Park,London Bridge Station
52,https://tfl.gov.uk/bus/route/52?direction=outbound,outbound,Victoria Bus Station,Pound Lane
45,https://tfl.gov.uk/bus/route/45?direction=inbound,inbound,Poynders Road / Kings Avenue,Elephant & Castle / Newington Causeway
35,https://tfl.gov.uk/bus/route/35?direction=outbound,outbound,Clapham Junction Station / Falcon Road,Shoreditch
33,https://tfl.gov.uk/bus/route/33?direction=outbound,outbound,Fulwell Station,Lonsdale Road
46,https://tfl.gov.uk/bus/route/46?direction=outbound,outbound,Paddington Stn / Eastbourne Terrace,St Bartholomew's Hospital
49,https://tfl.gov.uk/bus/route/49?direction=outbound,outbound,Northcote Road,White City Bus Station
14,https://tfl.gov.uk/bus/route/14?direction=outbound,outbound,Putney Heath / Green Man,.Russell Square
43,https://tfl.gov.uk/bus/route/43?direction=inbound,inbound,London Bridge Station,Halliwick Park
3,https://tfl.gov.uk/bus/route/3?direction=inbound,inbound,Crystal Palace Bus Station,Victoria Bus Station
31,https://tfl.gov.uk/bus/route/31?direction=outbound,outbound,Bayham Street,White City Bus Station
8,https://tfl.gov.uk/bus/route/8?direction=outbound,outbound,Bow Church,St Giles High Street
53,https://tfl.gov.uk/bus/route/53?direction=outbound,outbound,Orchard Road / Griffin Road,Lower Marsh
12,https://tfl.gov.uk/bus/route/12?direction=inbound,inbound,Etherow Street,Margaret Street / Oxford Circus
32,https://tfl.gov.uk/bus/route/32?direction=inbound,inbound,Kilburn Park Station,Edgware Station
51,https://tfl.gov.uk/bus/route/51?direction=inbound,inbound,Orpington Bus Station,Beresford Sq / Woolwich Arsenal Stn
23,https://tfl.gov.uk/bus/route/23?direction=outbound,outbound,Great Western Road,Aldwych / Drury Lane
36,https://tfl.gov.uk/bus/route/36?direction=inbound,inbound,New Cross Bus Garage,Queen's Park Station
42,https://tfl.gov.uk/bus/route/42?direction=inbound,inbound,Primrose Street,East Dulwich Sainsbury's
